japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
テリー,Terry,Chapter 223; Episode 146,N/A,N/A,N/A,N/A,N/A,N/A,"Terry is a bartender at a pub in Mock Town. He is not named in the manga, but his name was given in the databooks.",N/A,https://onepieceql.s3.amazonaws.com/Terry_Anime.jpg
ミカヅキ,Mikazuki,Chapter 323; Episode 230,Big Helmet Pirates,N/A,N/A,February 10th,N/A,"36,000,000","Mikazuki is the captain and only named member of the Big Helmet Pirates. He has a bounty of 36,000,000.",N/A,https://onepieceql.s3.amazonaws.com/Mikazuki_Anime.jpg
キュージ,Kyuji,"Chapter 302 (cover), Episode 381 (newspaper)",Marines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Kyuji_Manga.jpg
ロッカク,Rokkaku,Chapter 4; Episode 2,Marines (153rd Branch),East Blue,N/A,June 19th,N/A,N/A,Lieutenant Junior Grade Rokkaku was one of Axe-Hand Morgan's officers at the 153rd Marine Branch. He currently serves under Commander Ripper.,N/A,https://onepieceql.s3.amazonaws.com/Rokkaku_Anime.jpg
セイバー,Saber,Chapter 552; Episode 461,Spade Pirates,N/A,N/A,N/A,N/A,N/A,"Saber is a member of the Spade Pirates. Despite being commonly seen at Ace's side, he was allegedly not a commanding officer. ",N/A,https://onepieceql.s3.amazonaws.com/Saber_Anime.jpg
千早,N/A,Chapter 919; Episode 909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Chihaya_Anime.jpg
三千里ミザリー,Misery,Chapter 1039; Episode 1066,Big Mom Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Misery_Anime.jpg
ソース,N/A,Chapter 906; Episode 884,Levely,N/A,N/A,N/A,N/A,N/A,"Sauce is the king of Jambalaya Kingdom (ジャンバラヤ王国, Janbaraya Ōkoku?) and one of fifty monarchs who took part in the Levely.",N/A,https://onepieceql.s3.amazonaws.com/Sauce_Anime.jpg
ミス・ファーザーズデー,Ms. Father's Day,Chapter 205; Episode 124,Baroque Works,N/A,N/A,June 21st,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Miss_Father%27s_Day_Anime.jpg
スコッパー・ギャバン,Scopper Gaban,Chapter 19; Episode 0,Roger Pirates (former),N/A,N/A,N/A,N/A,N/A,Scopper Gaban is a former member of the Roger Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Scopper_Gaban_Anime.jpg
ミキータ,Mikita,Chapter 110; Episode 65,New Spiders Cafe; Baroque Works (former),West Blue,22 (debut) 24 (after timeskip),February 14th,XF,"7,500,000","""Courier"" Mikita, more commonly known by her alias Miss Valentine, is a former officer agent who was partnered with Mr. 5. As of now, she is currently working as a chocolate lady alongside most of the other Baroque Works members at the new Spiders Cafe.",Kiro Kiro no Mi,https://onepieceql.s3.amazonaws.com/Mikita_Anime.jpg
海イノシシ,Sea Boar,Chapter 191 (cover),Sea Floor,N/A,N/A,N/A,N/A,N/A,The Seaboar is a sea creature that debuted in Hatchan's Sea-Floor Stroll.,N/A,https://onepieceql.s3.amazonaws.com/Seaboar_Manga.jpg
シーガル・ガンズ・ノズドン,Seagull Ganz Nozudon,Chapter 0; Episode 0,Roger Pirates (former),N/A,N/A,N/A,N/A,N/A,Seagull Guns Nozdon is a former member of the Roger Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Seagull_Guns_Nozdon_Anime.jpg
ラクーン,Raccoon,"One Piece novel A, Volume 2 ",His crew,N/A,N/A,N/A,N/A,"75,000,000","""Pretended Sleep"" Raccoon is a West Blue Pirate Captain who was defeated by the Whitebeard Pirates.",N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
ショルゾウ,Schollzo,Chapter 325; Episode 231,Franky Family,N/A,N/A,N/A,N/A,N/A,Schollzo is a member of the Franky Family.,N/A,https://onepieceql.s3.amazonaws.com/Schollzo_Anime.jpg
サトリ,Satori,Chapter 241; Episode 155,God's Army,Sky Islands (Birka),25 (debut) 27 (after timeskip),March 10th,S,N/A,"Satori of the Forest punished criminals with the Ordeal of Balls during Enel's reign. He was one of Enel's top warriors, the Skypiea Priests, until his defeat. He is also the oldest triplet brother of Hotori and Kotori. Due to this actions, he was a major antagonist of the Skypiea Arc.",N/A,https://onepieceql.s3.amazonaws.com/Satori_Anime.jpg
ミヤギ,Miyagi,Chapter 807; Episode 756,Mokomo Dukedom,N/A,N/A,December 22nd,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Miyagi_Anime.jpg
ニカ,Nika,Chapter 1018 (silhouette); Episode 1040 (silhouette),N/A,N/A,N/A,N/A,N/A,N/A,"Nika is the name of a mythical warrior that was once revered as the Sun God by slaves from the ancient times. He was first mentioned by Who's-Who, who heard about the legend from a prison guard during his imprisonment by the World Government. According to Dr. Vegapunk, Nika's existence is only recorded in the most ancient of texts, having been otherwise erased in more modern documents. Nika's legend has also been passed down for generations in the nearly extinct Buccaneer race, being that Bartholomew Kuma learned about Nika's existence from his father during his days of slavery to give him hope, and Kuma later passed this same legend to his adopted daughter, Jewelry Bonney.",N/A,https://onepieceql.s3.amazonaws.com/Nika_Anime.jpg
サルウ,Salou (VIZ); Saruu (Funimation),Chapter 497; Episode 391,Rosward Family,N/A,N/A,March 28th,N/A,N/A,"Saru is the pet dog of two of the World Nobles, Saint Rosward and Saint Shalria.",N/A,https://onepieceql.s3.amazonaws.com/Saru_Anime.jpg
シャーロット・アッシュ,Charlotte Hachee,Chapter 871,Charlotte Family; Big Mom Pirates,N/A,47,December 10th,N/A,N/A,"Charlotte Hachée is the fourth daughter and eighth child of the Charlotte Family, the third quadruplet sister to Mondée, Amande, and Effilée, and a snakeneck-human hybrid. She is also an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Hach%C3%A9e_Manga.jpg
セキ,Seki,Chapter 908; Episode 884,Levely,N/A,N/A,N/A,N/A,N/A,Seki is the deposed king of Lulusia Kingdom and one of fifty monarchs who took part in the Levely. He is the father of Princess Komane.,N/A,https://onepieceql.s3.amazonaws.com/Seki_Anime.jpg
ショコラ,Chocolat,Chapter 598; Episode 517,Fake Straw Hat Crew,East Blue,26,September 21st,X,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Chocolat_Anime.jpg
ココロ,Kokoro,Chapter 322; Episode 229,Tom's Workers,Grand Line (Ryugu Kingdom; Fish-Man Island),70 (debut) 72 (after timeskip),October 5th,S,N/A,"Kokoro is an icefish mermaid and the stationmaster for Shift Station, a Sea Train station near Water 7. She was also Tom's secretary during the days of Tom's Workers.",N/A,https://onepieceql.s3.amazonaws.com/Kokoro_Anime.jpg
オリ婆,Crone Oli,Chapter 1076,Red Hair Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Oli_Manga.jpg
シャーロット・ハイファット,Charlotte High-Fat,Chapter 862; Episode 832,Charlotte Family; Big Mom Pirates,N/A,36,N/A,N/A,N/A,Charlotte High-Fat is the 20th son and 33rd child of the Charlotte Family and the older twin brother of Tablet. He is also an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_High-Fat_Anime.jpg
十鬼ジューキ,Juki,Chapter 977; Episode 982,Beasts Pirates (Numbers),N/A,N/A,N/A,N/A,N/A,"Due to his actions and role, he is a minor antagonist in the Wano Country Arc.",N/A,https://onepieceql.s3.amazonaws.com/Juki_Anime.jpg
イエティ COOLクール BROTHERSブラザーズ,Yeti Cool Brothers,Chapter 665; Episode 591,Caesar Clown,Grand Line,25,December 11th,S (RH-),"20,000,000 (each)","The Yeti Cool Brothers, Rock (ロック, Rokku?) and Scotch (スコッチ, Sukotchi?), are assassins who were employed by Caesar Clown until his defeat. They are members of a mysterious type of giants.",N/A,https://onepieceql.s3.amazonaws.com/Yeti_Cool_Brothers_Anime.jpg
メイナード,Maynard,Chapter 705; Episode 634,Marines,N/A,N/A,May 7th,N/A,N/A,"Maynard the Pursuer is a vice admiral who appears in the Dressrosa Arc. He was registered as a gladiator to compete at the Corrida Colosseum for the Mera Mera no Mi, but was defeated before he could participate.",N/A,https://onepieceql.s3.amazonaws.com/Maynard_Anime.jpg
マウンテン・リッキー,Mountain Ricky,Chapter 313; Episode 217,Foxy Pirates,N/A,N/A,N/A,N/A,N/A,Mountain Ricky is a member of the Foxy Pirates. He fought George Mach before the third round of the Davy Back Fight.,N/A,https://onepieceql.s3.amazonaws.com/Mountain_Ricky_Manga.jpg
キュロス,Kyros,Chapter 702; Episode 631,Corrida Colosseum (former); Riku Royal Army,Grand Line (Dressrosa),44,September 22nd,S,Unknown (as Thunder Soldier),N/A,N/A,https://onepieceql.s3.amazonaws.com/Kyros_Anime.jpg
シャーロット・カンテン,Charlotte Kanten,Chapter 862; Episode 839,Charlotte Family; Big Mom Pirates,N/A,28,N/A,N/A,N/A,"Charlotte Kanten is the 27th son and 48th child of the Charlotte Family and the eldest triplet brother of Kato and Montb. He is also an officer of the Big Mom Pirates and serves as Totto Land's Minister of Agar (寒天大臣, Kanten Daijin?), governing over Jelly Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Kanten_Anime.jpg
シャーロット・ジョコンド,Charlotte Joconde,Chapter 894; Episode 869,Charlotte Family; Big Mom Pirates,N/A,23,N/A,N/A,N/A,Charlotte Joconde is the 27th daughter and 59th child of the Charlotte Family and an officer of the Big Mom Pirates. She was also a member of Charlotte Oven's army to intercept the Straw Hat Pirates on Cacao Island.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Joconde_Anime.jpg
千利休留,Sen-no-Rikyuru,Chapter 1053; Episode 1080,N/A,N/A,N/A,N/A,N/A,N/A,Sennorikyuru is the master of tea ceremonies and is considered the best cook of Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Sennorikyuru_Anime.jpg
ササキ,Sasaki,Chapter 977; Episode 954 (silhouette); Episode 982 (actual),Beasts Pirates (Tobiroppo); Sasaki Pirates (former),Grand Line,34,February 3rd,XF,"472,000,000","""Overflowing"" Sasaki is a bluespine unicornfish fish-man and one of the Tobiroppo, the strongest six Shinuchi of the Beasts Pirates. He also leads the crew's Armored Division. Before joining the Beasts Pirates, he captained his own crew called the Sasaki Pirates.","Ryu Ryu no Mi, Model: Triceratops",https://onepieceql.s3.amazonaws.com/Sasaki_Anime.jpg
シャーロット・ジョスカルポーネ,Charlotte Joscarpone,Chapter 845; Episode 809,Charlotte Family; Big Mom Pirates,N/A,20,February 27th,N/A,N/A,"Charlotte Joscarpone is the 29th daughter and 63rd child of the Charlotte Family, the younger twin sister of Charlotte Mascarpone, and a Snakeneck-human hybrid. She is also an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Joscarpone_Anime.jpg
ニトロ,Nitro,Chapter 651; Episode 571,Big Mom Pirates; Cacao Island,N/A,N/A,N/A,N/A,N/A,Nitro is a jelly homie that is often seen with Charlotte Pudding.,N/A,https://onepieceql.s3.amazonaws.com/Nitro_Anime.jpg
シャーロット・カトウ,Kato (Funimation subs); Fructose (VIZ); Charlotte Kato (WT100),Chapter 854; Episode 822,Charlotte Family; Big Mom Pirates,N/A,28,N/A,N/A,N/A,"Charlotte Kato is the 28th son and 49th child of the Charlotte Family and the middle triplet brother of Kanten and Montb. He also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Seeds (シード大臣, Shīdo Daijin?), governing over Tanega Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Kato_Anime.jpg
レディツリー,Lady Tree,Chapter 873; Episode 844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Lady_Tree_Anime.jpg
ラブーン,Laboon; Raboon (Odex),Chapter 102; Episode 62,Rumbar Pirates (former); Crocus,West Blue,51 (debut) 53 (after timeskip),September 16th,F,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Laboon_Anime.jpg
セト,Seto,Chapter 287; Episode 187,Shandia,N/A,N/A,July 16th ,N/A,N/A,Seto was one of the Shandia who lived on Jaya four hundred years ago.,N/A,https://onepieceql.s3.amazonaws.com/Seto_Anime.jpg
スクラッチメン・アプー,Scratchmen Apoo,Chapter 498; Episode 392,On Air Pirates; Beasts Pirates,Grand Line,29 (debut) 31 (after timeskip),March 19th,XF,"350,000,000 198,000,000","Scratchmen Apoo, also known as ""Roar of the Sea"", is the captain of the On Air Pirates and was formerly an informant for the Beasts Pirates, led by Kaidou of the Four Emperors.",Oto Oto no Mi,https://onepieceql.s3.amazonaws.com/Scratchmen_Apoo_Anime_Post_Timeskip.jpg
セニョール・ピンク,Señor Pink,Chapter 702; Episode 632 ,Donquixote Pirates,North Blue,46,June 12th (Lover's Day),X,"58,000,000",Senor Pink is an assassin and officer of the Donquixote Pirates' Diamante Army. He was also the husband of Russian and the father of Gimlet.,Sui Sui no Mi,https://onepieceql.s3.amazonaws.com/Senor_Pink_Anime.jpg
サボ,Sabo,Chapter 583; Episode 494,Revolutionary Army; Dadan Family (former); Goa Kingdom (defected),East Blue (Goa Kingdom),"10 (flashback, debut) 22 (after timeskip)",March 20th,X,"602,000,000","""Flame Emperor"" Sabo is the Revolutionary Army's chief of staff, recognized as the No. 2 of the entire organization and outranked only by Supreme Commander Monkey D. Dragon. He is also the sworn brother of the notorious pirates Monkey D. Luffy and the late Portgas D. Ace.",Mera Mera no Mi,https://onepieceql.s3.amazonaws.com/Sabo_Anime.jpg
正シャカ,Shaka,Chapter 1062; Episode 1091,Marines (SSG),N/A,N/A,N/A,N/A,N/A,"Shaka, also designated as Punk-01 (PUNK-01パンク ワン, Panku-Wan?), was one of the six satellites of Dr. Vegapunk, embodying his aspect of ""good"".",N/A,https://onepieceql.s3.amazonaws.com/Shaka_Manga.jpg
ノラ,Nola,Chapter 255; Episode 168,Shandia; Wagomuland,N/A,Over 400,March 10th,N/A,N/A,"Nola, known to many as the Master of the Sky, is a giant snake who lives on Upper Yard in Skypiea. Having lived for over four centuries, the snake was once the companion of Kalgara and Mont Blanc Noland back when Upper Yard was still part of Jaya. It is the grandchild of the snake Kashigami, whom the Shandia once worshiped as a god.",N/A,https://onepieceql.s3.amazonaws.com/Nola_Anime.jpg
センゴク,Sengoku,Chapter 234; Episode 151,Marines (semi-retired),South Blue,77 (debut) 79 (after timeskip),May 9th,F,N/A,"Sengoku the Buddha is a former Fleet Admiral of the Marines, succeeding Kong and preceding Sakazuki. He retired from his leadership position after the Summit War of Marineford, but remained in the Marines as an Inspector General.","Hito Hito no Mi, Model: Daibutsu",https://onepieceql.s3.amazonaws.com/Sengoku_Anime_Post_Timeskip.jpg
シャーロット・ラウリン,Charlotte Laurin,Chapter 864; Episode 834,Charlotte Family; Big Mom Pirates,N/A,39,N/A,N/A,N/A,Charlotte Laurin is the 18th son and 29th child of the Charlotte Family and the younger twin brother of Compo. He is also an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Laurin_Anime.jpg
シャチ,Shachi,Chapter 498; Episode 392,Heart Pirates,North Blue,25 (debut) 27 (after timeskip),April 7th,X,N/A,Shachi is a member of the Heart Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Shachi_Anime.jpg
のらギツネ,Stray Fox,Chapter 598; Episode 518,Fake Straw Hat Crew,East Blue,13,April 10th,N/A,N/A,"Nora Gitsune is a fox who filled the role of the ""pet"" for the Fake Straw Hat Crew, who did not know that the real Chopper is the crew's doctor and is given human-traits by the Hito Hito no Mi.",N/A,https://onepieceql.s3.amazonaws.com/Nora_Gitsune_Anime.jpg
のり子,N/A,Chapter 940; Episode 937,N/A,N/A,N/A,N/A,N/A,N/A,Noriko is a nori maker who lives in Ebisu Town.,N/A,https://onepieceql.s3.amazonaws.com/Noriko_Anime.jpg
ノスガール,N/A,Chapter 579,Ally of the Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,Nosgarl is an infamous New World pirate who allied himself with Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/Nosgarl_Manga.jpg
シャルリア宮,Saint Shalria,Chapter 497; Episode 391,World Government,Red Line (Mary Geoise),15 (debut) 17 (after timeskip),March 29th,XF,N/A,"Saint Shalria is a World Noble, the younger sister of Saint Charlos, and the daughter of Saint Rosward.",N/A,https://onepieceql.s3.amazonaws.com/Shalria_Anime.jpg
シャーロット・メープル,Charlotte Maple,Chapter 897,Charlotte Family; Big Mom Pirates,N/A,25,November 17th,N/A,N/A,"Charlotte Maple is the 26th daughter and 57th child of the Charlotte Family, the youngest quadruplet sister of Mobile, Marble, and Myukuru, and a Longarm-human hybrid. She also is an officer of the Big Mom Pirates. She was a member of Charlotte Oven's army to ambush Monkey D. Luffy on Cacao Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Maple_Manga.jpg
ノジコ,Nojiko,Chapter 70; Episode 31,N/A,East Blue,20 (debut) 22 (after timeskip),July 25th,S,N/A,"Nojiko is the owner of a tangerine farm in Cocoyasi Village and is the adoptive older sister of Nami. They were raised together by their adoptive mother, Bell-mère.",N/A,https://onepieceql.s3.amazonaws.com/Nojiko_Manga_Post_Timeskip.jpg
パブリク,Pavlik,Chapter 553; Episode 477,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Pavlik_Anime.jpg
シャム,Siam Sham (WT100),Chapter 31; Episode 13,Black Cat Pirates,East Blue,21 (debut) 23 (after timeskip),April 19th,X,"7,000,000 (with Buchi)","Sham is an officer of the Black Cat Pirates. Along with his partner Buchi, he is also the protector of the crew's ship, the Bezan Black, and together they are known as the Nyaban Brothers (ニャーバン・兄弟ブラザーズ, Nyāban Burazāzu?).",N/A,https://onepieceql.s3.amazonaws.com/Sham_Anime.jpg
シャーロット・カタクリ,Charlotte Katakuri,Chapter 860; Episode 825,Charlotte Family; Big Mom Pirates,Grand Line (On a boat),48,November 25th,XF,"1,057,000,000","Charlotte Katakuri is the second son and third child of the Charlotte Family and the elder triplet brother of Daifuku and Oven. He is also one of the Three Sweet Commanders of the Big Mom Pirates and serves as Totto Land's Minister of Flour (粉大臣, Kona Daijin?), governing over Komugi Island.",Mochi Mochi no Mi,https://onepieceql.s3.amazonaws.com/Charlotte_Katakuri_Anime.jpg
Mr. 7ミスター・セブン,Mr. 7,Chapter 205; Episode 124,Baroque Works,N/A,N/A,N/A,N/A,N/A,"Mr. 7 is a former Frontier Agent of Baroque Works, being half of a sniper duo along with his partner, Miss Father's Day. He replaced the previous agent of the same codename when the latter died in the line of duty. Due to his actions, he is a minor antagonist in the Arabasta Arc.",N/A,https://onepieceql.s3.amazonaws.com/Mr._7_Anime.jpg
メロ,Mello (Viz); Mero (FUNimation),Chapter 608; Episode 527,Mermaid Cafe,Grand Line (Ryugu Kingdom; Fish-Man Island),N/A,N/A,N/A,N/A,Mero is a smelt-whiting mermaid and an employee of the Mermaid Cafe.,N/A,https://onepieceql.s3.amazonaws.com/Mero_Anime.jpg
ヌギレ・ヤイヌ,Snott Mee,Chapter 37; Episode 10,Black Cat Pirates,East Blue,N/A,July 18th,N/A,N/A,Nugire Yainu was the shipwright of the Black Cat Pirates and the crew member who was killed three years prior to Luffy's visit to Syrup Village by the Marines.,N/A,https://onepieceql.s3.amazonaws.com/Nugire_Yainu_Anime.jpg
猫車にゃしゃ,Calicoach,Chapter 842; Episode 806,N/A,N/A,N/A,May 28th,N/A,N/A,Nyasha is a giant cat owned by the Vinsmoke Family that pulls their royal carriage.,N/A,https://onepieceql.s3.amazonaws.com/Nyasha_Anime.jpg
シャンディア酋長,Shandia Chief,Chapter 275; Episode 168,Shandia,Sky Islands (Skypiea),63 (debut) 65 (after timeskip),October 4th,X,N/A,The Shandia chief is the leader of the Shandia tribe.,N/A,https://onepieceql.s3.amazonaws.com/Shandia_Chief.jpg
モンキー・Dディー・ルフィ,Monkey D. Luffy,Chapter 1; Episode 1,"Straw Hat Pirates; Straw Hat Grand Fleet; Four Emperors; Dadan Family (former); Baratie (temporary, former); Impel Down (former); Ninja-Pirate-Mink-Samurai Alliance (disbanded)",East Blue (Goa Kingdom),7 (debut); 17 (pre-timeskip); 19 (after timeskip),May 5th (Children's Day),F,"3,000,000,000 1,500,000,000 500,000,000 400,000,000 300,000,000 100,000,000 30,000,000","Monkey D. Luffy, also known as ""Straw Hat Luffy"" and commonly as ""Straw Hat"", is the founder and captain of the increasingly infamous and powerful Straw Hat Pirates, as well as the most powerful of its top fighters. He desires to find the legendary treasure left behind by the late Gol D. Roger and thereby become the Pirate King, which would help facilitate an unknown dream of his that he has told only to Shanks, his brothers, and crew. He believes that being the Pirate King means having the most freedom in the world.","Gomu Gomu no Mi (Hito Hito no Mi, Model: Nika)",https://onepieceql.s3.amazonaws.com/Monkey_D._Luffy_Anime_Post_Timeskip.jpg
メリー,Merry,Chapter 24; Episode 11,Kaya,East Blue (Syrup Village),N/A,January 22nd,N/A,N/A,"Merry is Kaya's butler, and the original designer of the Going Merry.",N/A,https://onepieceql.s3.amazonaws.com/Merry_Anime_Post_Timeskip.jpg
グラム,Gram,Chapter 391; Episode 275,Ohara Archaeologists,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Gram_Anime.jpg
マルガリータ,Margarita,Chapter 483; Episode 375,Neutral civilian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Margarita_Anime.jpg
エスタ,Esta,Chapter 717; Episode 647,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Esta_Anime.jpg
シャイン,Shine,Chapter 214; Episode 128,Marines,N/A,N/A,N/A,N/A,N/A,Shine is a Marine Chief Petty Officer who works under the command of Hina.,N/A,https://onepieceql.s3.amazonaws.com/Shine_Anime.jpg
ダッキー・ブリー,Ducky Bree,Chapter 552; Episode 461,Spade Pirates,N/A,N/A,N/A,N/A,N/A,Ducky Bree is a member of the Spade Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Ducky_Bree_Anime.jpg
霜月コウシロウ,Koshiro; Koushirou (Live-Action),Chapter 5; Episode 19,Shimotsuki Family,East Blue,40 (debut) 49 (pre-timeskip) 51 (after timeskip),May 4th,S,N/A,"Shimotsuki Koushirou is a member of the Shimotsuki Family and a master swordsman, he was both the teacher of as well as the distant relative of Roronoa Zoro. He is also the father of the late Shimotsuki Kuina and son of Shimotsuki Kozaburo. He is the master of Isshin Dojo in Shimotsuki Village.",N/A,https://onepieceql.s3.amazonaws.com/Shimotsuki_Koushirou_Manga_Post_Timeskip.jpg
ル・フェルド,Du Feld,Chapter 860; Episode 828,Lu Feld Conglomerate; Underworld; MADS (former),N/A,N/A,December 29th,N/A,N/A,"Lu Feld, known as the ""God of Fortune"", is the ""Loan Shark King"" (闇金王, Yamikin-Ō?). He is a member of the Lu Feld Conglomerate (ルフェルド財閥, Ru Ferudo Zaibatsu?), the former financer of MADS, and an emperor of the Underworld.",N/A,https://onepieceql.s3.amazonaws.com/Lu_Feld_Anime.jpg
シェリー,Sherry (Viz); Shelly (FUNimation),Chapter 304; Episode 207,Nomads,N/A,N/A,October 31st,N/A,N/A,Shelly is Tonjit's hooooorse and an animal of Long Ring Long Land.,N/A,https://onepieceql.s3.amazonaws.com/Shelly_Anime.jpg
忍助,Shinosuke,Chapter 955; Episode 956,Kozuki Family,N/A,N/A,N/A,N/A,N/A,Shinosuke is a ninja who serves the Kozuki Family. He is Shinobu's older brother.,N/A,https://onepieceql.s3.amazonaws.com/Shinosuke_Anime.jpg
シオン,Shion,Chapter 515; Episode 409 (mentioned),Kuja,N/A,N/A,N/A,N/A,N/A,Shion is a member of the Kuja. She is never seen but her name appears on the match-ups of the arena battle board.,N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
みなともさん,Minatomo,SBS Volume 7; Episode 51,Easter egg,N/A,At least 55,N/A,N/A,N/A,"Minatomo-san is a carpenter who was created by Oda as a One Piece SBS joke character to explain how the door Higuma kicked off its hinges was suddenly back in place as the bandit left the bar, after Higuma smashed a bottle of sake over Shanks.",N/A,https://onepieceql.s3.amazonaws.com/Minatomo_%28East_Blue%29_Anime.jpg
スカーレット,Scarlet,Chapter 721; Episode 650,Riku Family,N/A,N/A,October 28th,N/A,N/A,"Scarlett was the first daughter of the Riku Family and the former crown princess of Dressrosa until falsifying her own death. She was Viola's elder sister, Kyros' wife, and Rebecca's mother. She was killed by Diamante when Donquixote Pirates took over Dressrosa ten years ago.",N/A,https://onepieceql.s3.amazonaws.com/Scarlett_Anime.jpg
ミス・サースデー,Miss Thursday,Chapter 155; Episode 91 (mentioned),Baroque Works,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
シシリアン,Shishilian,Chapter 808; Episode 758,Mokomo Dukedom; Inuarashi Musketeer Squad; Ninja-Pirate-Mink-Samurai Alliance,Grand Line (Mokomo Dukedom),34,April 4th,XF,N/A,"""Full Power"" Shishilian is a lion mink and the captain of the Inuarashi Musketeer Squad, as well as one of the Three Inuarashi Musketeers leading the squad.",N/A,https://onepieceql.s3.amazonaws.com/Shishilian_Anime.jpg
猿飛,Sarutobi,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu (former),Wano Country,45,March 12th,F,N/A,"Sarutobi is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi.",N/A,https://onepieceql.s3.amazonaws.com/Sarutobi_Anime.jpg
スコッチ,Scotch,Chapter 595; Episode 513,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,"""Iron Boy"" Scotch is a member of the Beasts Pirates working as the guardian of one of the former Emperor Kaidou's favorite islands.",N/A,https://onepieceql.s3.amazonaws.com/Scotch_Anime.jpg
シオヤキ,Saltgrill,Chapter 75; Episode 33,Arlong Pirates,"Grand Line (Ryugu Kingdom, Fish-Man Island)",N/A,March 27th,N/A,N/A,Shioyaki is a salmon Fish-Man who was a member of the Arlong Pirates and the head of banquets.,N/A,https://onepieceql.s3.amazonaws.com/Shioyaki_Anime.jpg
シープスヘッド,Sheepshead,Chapter 795; Episode 739,Beasts Pirates,Grand Line,24,June 6th,F,N/A,Sheepshead is a Shinuchi of the Beasts Pirates who was in charge of the Gifters on Zou.,N/A,https://onepieceql.s3.amazonaws.com/Sheepshead_Anime.jpg
ロス,Ross,Chapter 223; Episode 146,Bellamy Pirates,N/A,N/A,N/A,N/A,N/A,Ross is a former combatant of the Bellamy Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Ross_Anime.jpg
しのぶ,Shinobu,Chapter 921; Episode 911,Kozuki Family,Grand Line (Wano Country),49,October 23rd,F,N/A,"Shinobu is a kunoichi from Wano Country and a retainer of the Kozuki Family, having once served in the Oniwabanshu of the Kozuki Shogunate and trained under Kin'emon as his protégée. She is also the younger sister of Shinosuke.",Juku Juku no Mi,https://onepieceql.s3.amazonaws.com/Shinobu_Anime.jpg
